id,length,start_time,trip_time,edge_start,edge_end
0,4.34,141.8,6.6,node2,2_6
1,4.16,141.8,81.8,3_2,1_8
3,4.69,141.8,68.9,3_2,2_6
4,4.57,141.8,15.8,7_3,3_10
5,4.62,141.8,17.0,9_2,2_6
6,4.37,141.8,7.7,node2,2_6
8,4.55,141.8,25.5,10_3,3_7
9,4.67,141.8,18.5,7_3,3_10
11,5.09,141.8,83.3,3_2,1_8
12,5.15,141.8,14.5,7_3,3_4
14,4.81,141.8,71.2,3_2,2_6
15,4.33,141.8,8.9,9_2,2_6
16,5.2,141.8,23.1,10_3,3_7
17,5.1,141.8,23.4,7_3,3_10
19,4.25,141.8,11.9,9_2,2_1
20,4.41,141.8,7.4,node2,2_6
23,4.37,141.8,9.6,9_2,2_6
25,7.87,141.8,72.7,3_2,1_0
26,8.41,141.8,89.9,4_3,2_6
27,4.87,141.8,147.6,3_2,1_0
28,4.46,141.8,16.4,7_3,3_4
29,4.88,141.8,20.6,7_3,3_10
30,6.45,141.8,45.1,2_3,3_10
33,4.58,141.8,66.8,3_2,2_6
34,5.38,141.8,77.9,3_2,2_6
36,4.91,141.8,72.6,3_2,2_6
52,4.74,142.7,90.6,4_3,2_6
53,5.56,143.2,62.8,4_3,3_10
57,5.26,144.8,79.5,4_3,3_10
58,4.36,145.4,17.3,9_2,2_6
61,4.74,146.5,11.0,9_2,2_6
62,4.8,146.8,10.5,9_2,2_6
63,5.09,147.1,50.2,9_2,3_4
67,4.86,148.1,10.8,9_2,2_6
68,4.69,148.3,73.4,4_3,1_0
69,4.83,148.8,12.5,9_2,2_3
71,5.13,149.3,155.5,4_3,1_0
74,4.81,150.1,10.8,9_2,2_6
75,4.62,151.1,14.0,9_2,2_6
77,4.31,151.8,15.5,7_3,3_10
79,4.47,152.3,14.6,9_2,2_6
80,5.19,152.6,154.6,4_3,1_0
82,12.68,153.0,59.6,9_2,3_4
88,4.57,154.4,14.5,9_2,2_6
89,4.45,154.4,14.5,7_3,3_10
90,4.19,154.6,11.5,9_2,2_6
